-0.82,;0.33
2.99,;0.92,;2.69
0.10,;-0.03,;0.99
2.99,;0.73,;2.75
0.11,;-0.03,;0.99
2.93,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.67,;2.81
0.10,;-0.03,;0.99
3.05,;0.79,;2.87
0.10,;-0.03,;0.99
2.93,;0.67,;2.81
0.10,;-0.03,;1.00
3.05,;0.73,;2.75
0.10,;-0.03,;0.99
3.05,;0.67,;2.93
0.10,;-0.03,;1.00
3.05,;0.79,;2.69
0.10,;-0.03,;1.00
3.05,;0.79,;2.93
0.10,;-0.03,;0.99
3.05,;0.92,;2.69
0.11,;-0.03,;0.99
3.05,;0.67,;2.69
0.10,;-0.03,;0.99
2.99,;0.85,;2.69
0.10,;-0.03,;0.99
3.23,;0.73,;2.69
0.10,;-0.03,;1.00
3.42,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.73,;2.69
0.11,;-0.03,;0.99
3.05,;0.79,;2.87
0.10,;-0.03,;0.99
3.36,;0.85,;2.87
0.10,;-0.02,;0.99
3.17,;0.85,;2.69
0.11,;-0.03,;0.99
3.05,;0.85,;2.87
0.10,;-0.03,;0.99
3.11,;0.73,;2.87
0.10,;-0.03,;0.99
2.99,;0.85,;2.87
0.10,;-0.03,;0.99
3.17,;0.73,;2.75
0.10,;-0.03,;0.99
3.11,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.62
0.10,;-0.03,;0.99
3.23,;0.61,;2.62
0.10,;-0.03,;0.99
3.05,;0.92,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.69
0.10,;-0.03,;0.99
3.05,;0.85,;2.75
0.10,;-0.03,;0.99
3.30,;0.73,;2.62
0.10,;-0.03,;0.99
3.23,;0.79,;2.62
0.10,;-0.03,;0.99
2.99,;0.98,;2.75
0.10,;-0.03,;1.00
3.23,;0.73,;2.69
0.10,;-0.03,;0.99
3.17,;0.85,;2.69
0.10,;-0.03,;0.99
3.30,;0.79,;2.75
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.85,;2.62
0.10,;-0.03,;0.99
3.30,;0.92,;2.56
0.10,;-0.03,;0.99
3.23,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.75
0.10,;-0.03,;0.99
3.05,;0.85,;2.75
0.10,;-0.03,;0.99
3.30,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.85,;2.62
0.10,;-0.03,;0.99
3.23,;0.73,;2.75
0.10,;-0.03,;0.99
3.11,;0.92,;2.81
0.10,;-0.03,;0.99
3.17,;0.79,;2.62
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.30,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.61,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.69
0.10,;-0.03,;0.99
3.23,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.73,;2.81
0.10,;-0.03,;0.99
3.17,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.92,;2.56
0.10,;-0.03,;0.99
2.99,;0.79,;2.75
0.10,;-0.03,;0.99
3.05,;0.73,;2.75
0.10,;-0.03,;0.99
2.99,;0.85,;2.81
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.23,;0.92,;2.50
0.10,;-0.03,;0.99
3.17,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;1.04,;2.75
0.10,;-0.03,;0.99
3.36,;0.79,;2.81
0.10,;-0.03,;0.99
3.30,;0.79,;2.69
0.10,;-0.03,;0.99
3.11,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.67,;2.75
0.10,;-0.03,;0.99
3.23,;0.67,;2.62
0.10,;-0.03,;0.99
3.05,;0.67,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.05,;0.92,;2.56
0.10,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
2.99,;0.79,;2.81
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.73,;2.81
0.10,;-0.03,;0.99
2.87,;0.67,;2.69
0.10,;-0.03,;0.99
3.17,;0.85,;2.75
0.10,;-0.03,;0.99
3.23,;0.79,;2.75
0.10,;-0.03,;0.99
3.36,;0.85,;2.62
0.10,;-0.03,;0.99
3.05,;0.79,;2.69
0.10,;-0.03,;0.99
3.23,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.92,;2.62
0.10,;-0.03,;0.99
3.11,;0.73,;2.62
0.10,;-0.03,;0.99
3.30,;0.79,;2.62
0.10,;-0.03,;0.99
2.99,;0.67,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.81
0.10,;-0.03,;0.99
3.05,;0.73,;2.62
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.62
0.10,;-0.03,;0.99
2.93,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.81
0.10,;-0.03,;0.99
3.17,;0.67,;2.75
0.10,;-0.03,;0.99
3.11,;0.92,;2.62
0.10,;-0.03,;0.99
2.93,;0.92,;2.81
0.10,;-0.03,;0.99
3.05,;0.85,;2.75
0.10,;-0.03,;0.99
3.23,;0.85,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.62
0.10,;-0.03,;0.99
2.93,;0.73,;2.81
0.10,;-0.03,;0.99
3.11,;0.73,;2.56
0.10,;-0.03,;0.99
3.05,;0.92,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.87
0.10,;-0.03,;0.99
3.23,;0.79,;2.62
0.10,;-0.03,;0.99
2.99,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.73,;2.69
0.10,;-0.03,;0.99
2.99,;0.73,;2.69
0.10,;-0.03,;0.99
3.05,;0.85,;2.81
0.10,;-0.03,;0.99
3.05,;0.92,;2.81
0.10,;-0.03,;0.99
3.05,;0.79,;2.69
0.10,;-0.03,;0.99
3.05,;0.85,;2.69
0.10,;-0.03,;0.99
2.99,;0.73,;2.69
0.10,;-0.03,;0.99
2.87,;0.67,;2.56
0.10,;-0.03,;0.99
3.23,;0.85,;2.81
0.10,;-0.03,;0.99
3.17,;0.73,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.67,;2.69
0.10,;-0.03,;0.99
3.36,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.56
0.10,;-0.03,;0.99
3.17,;0.92,;2.69
0.10,;-0.03,;0.99
3.17,;0.67,;2.62
0.10,;-0.03,;0.99
3.17,;0.67,;2.62
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.10,;-0.03,;0.99
3.23,;0.73,;2.69
0.10,;-0.03,;0.99
3.23,;0.85,;2.75
0.10,;-0.03,;0.99
3.05,;0.73,;2.81
0.10,;-0.03,;0.99
3.05,;0.67,;2.81
0.10,;-0.03,;0.99
3.17,;0.85,;2.87
0.10,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.56
0.10,;-0.03,;0.99
3.17,;0.67,;2.81
0.10,;-0.03,;0.99
3.17,;0.92,;2.87
0.10,;-0.03,;0.99
3.17,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.62
0.10,;-0.03,;0.99
3.17,;0.73,;2.87
0.10,;-0.03,;0.99
3.30,;0.92,;2.81
0.10,;-0.03,;0.99
2.99,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.92,;2.87
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.81
0.10,;-0.03,;0.99
3.05,;0.67,;2.81
0.10,;-0.03,;0.99
3.23,;0.85,;2.75
0.10,;-0.03,;0.99
3.11,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.73,;2.87
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.17,;0.85,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.11,;0.85,;2.69
0.10,;-0.03,;0.99
3.23,;0.85,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.69
0.10,;-0.03,;0.99
3.23,;0.73,;2.87
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.10,;-0.03,;0.99
3.36,;0.73,;2.69
0.10,;-0.03,;0.99
2.99,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.73,;2.56
0.10,;-0.03,;0.99
3.17,;0.92,;2.69
0.10,;-0.03,;0.99
3.23,;0.79,;2.87
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.05,;0.79,;2.81
0.10,;-0.03,;0.99
2.93,;0.79,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.62
0.10,;-0.03,;0.99
3.05,;0.79,;2.87
0.10,;-0.03,;0.99
3.17,;0.67,;2.69
0.10,;-0.03,;0.99
3.23,;0.79,;2.75
0.10,;-0.03,;0.99
2.99,;0.67,;2.81
0.10,;-0.03,;0.99
2.99,;0.61,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.23,;0.73,;2.75
0.10,;-0.03,;0.99
3.05,;0.67,;2.56
0.10,;-0.03,;0.99
3.23,;0.85,;2.56
0.10,;-0.03,;0.99
3.23,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.67,;2.62
0.10,;-0.03,;0.99
3.17,;0.73,;2.81
0.10,;-0.03,;0.99
3.17,;0.73,;2.75
0.10,;-0.03,;0.99
3.36,;0.79,;2.93
0.10,;-0.03,;0.99
3.23,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.67,;2.75
0.10,;-0.03,;0.99
2.99,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.67,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.85,;2.87
0.10,;-0.03,;0.99
3.23,;0.85,;2.62
0.10,;-0.03,;0.99
3.17,;0.85,;2.69
0.10,;-0.03,;0.99
3.11,;0.98,;2.62
0.10,;-0.03,;0.99
3.17,;0.92,;2.62
0.10,;-0.03,;0.99
3.30,;0.73,;2.69
0.10,;-0.03,;0.99
3.23,;0.98,;2.81
0.10,;-0.03,;0.99
3.17,;0.79,;2.56
0.10,;-0.03,;0.99
3.23,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.85,;2.75
0.10,;-0.03,;0.99
3.11,;0.79,;2.93
0.10,;-0.03,;0.99
3.17,;0.73,;2.69
0.10,;-0.03,;0.99
3.17,;0.92,;2.81
0.10,;-0.03,;0.99
3.23,;0.92,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.62
0.10,;-0.03,;0.99
3.23,;0.67,;2.75
0.10,;-0.03,;0.99
3.23,;0.85,;2.75
0.10,;-0.03,;0.99
3.30,;0.61,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.87
0.10,;-0.03,;0.99
3.23,;0.67,;2.81
0.10,;-0.03,;0.99
2.93,;0.79,;2.81
0.10,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
2.87,;0.85,;2.75
0.10,;-0.03,;0.99
3.23,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.61,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.62
0.10,;-0.03,;0.99
3.23,;0.79,;2.81
0.10,;-0.03,;0.99
2.99,;0.67,;2.56
0.10,;-0.03,;0.99
3.11,;0.92,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.81
0.10,;-0.03,;0.99
3.17,;0.92,;2.75
0.10,;-0.03,;0.99
3.11,;0.92,;2.69
0.10,;-0.03,;0.99
2.99,;0.79,;2.69
0.10,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.69
0.10,;-0.03,;0.99
3.11,;0.73,;2.81
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.05,;0.79,;2.69
0.10,;-0.03,;0.99
3.05,;0.73,;2.69
0.10,;-0.03,;0.99
3.05,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.85,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
2.93,;0.73,;2.62
0.10,;-0.03,;0.99
2.99,;0.85,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.62
0.10,;-0.03,;0.99
3.05,;0.92,;2.75
0.10,;-0.03,;0.99
3.30,;0.85,;2.81
0.10,;-0.03,;0.99
3.36,;0.73,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.10,;-0.03,;0.99
3.30,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.92,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.93
0.10,;-0.03,;0.99
2.87,;0.85,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.62
0.10,;-0.03,;0.99
3.05,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;0.73,;2.69
0.10,;-0.03,;0.99
2.99,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.05,;0.92,;2.69
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.73,;2.62
0.10,;-0.03,;0.99
3.17,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.73,;2.56
0.10,;-0.03,;0.99
3.17,;0.85,;2.56
0.10,;-0.03,;0.99
3.11,;0.85,;2.56
0.10,;-0.03,;0.99
3.11,;0.67,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
2.99,;0.98,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.56
0.10,;-0.03,;0.99
2.99,;0.85,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.87
0.10,;-0.03,;0.99
2.93,;0.67,;2.69
0.10,;-0.03,;0.98
3.11,;0.79,;2.75
0.10,;-0.03,;1.00
3.17,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.92,;2.56
0.10,;-0.03,;0.99
3.11,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.98,;2.62
0.10,;-0.03,;0.99
3.36,;0.85,;2.93
0.10,;-0.03,;0.99
3.23,;0.79,;2.62
0.10,;-0.03,;0.99
3.23,;0.73,;2.75
0.11,;-0.03,;0.99
3.17,;0.79,;2.75
0.11,;-0.03,;0.99
3.05,;0.67,;2.62
0.10,;-0.03,;0.99
3.17,;0.79,;2.56
0.11,;-0.03,;0.99
3.23,;0.85,;2.75
0.10,;-0.03,;0.99
3.30,;0.79,;2.93
0.10,;-0.03,;0.99
3.11,;0.92,;2.69
0.10,;-0.03,;0.99
3.05,;0.67,;2.75
0.10,;-0.03,;0.99
3.17,;0.92,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.69
0.10,;-0.03,;0.99
3.30,;0.85,;2.75
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.10,;-0.03,;0.99
3.05,;0.85,;2.69
0.10,;-0.03,;1.00
2.99,;0.92,;2.62
0.10,;-0.03,;0.99
3.05,;0.85,;2.56
0.10,;-0.03,;1.00
3.17,;0.79,;2.69
0.11,;-0.03,;0.99
3.23,;0.67,;2.69
0.10,;-0.03,;1.00
3.11,;0.79,;2.62
0.10,;-0.03,;0.99
3.30,;0.92,;2.62
0.10,;-0.03,;1.00
3.23,;0.85,;2.69
0.11,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.75
0.11,;-0.03,;0.99
3.17,;0.79,;2.50
0.10,;-0.03,;0.99
3.30,;0.67,;2.87
0.10,;-0.03,;0.99
3.05,;0.79,;2.56
0.10,;-0.03,;0.99
3.23,;0.79,;2.62
0.10,;-0.03,;0.99
3.17,;0.79,;2.56
0.10,;-0.03,;0.99
3.11,;0.61,;2.75
0.11,;-0.03,;0.99
2.93,;0.85,;2.62
0.10,;-0.03,;0.99
2.93,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.73,;2.75
0.10,;-0.03,;0.99
3.11,;0.61,;2.87
0.10,;-0.03,;0.99
3.23,;0.55,;2.81
0.10,;-0.03,;1.00
3.05,;0.79,;2.87
0.10,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.56
0.10,;-0.03,;0.99
3.05,;0.92,;2.62
0.10,;-0.03,;0.99
3.23,;0.73,;2.69
0.10,;-0.03,;0.99
3.17,;0.73,;2.69
0.11,;-0.03,;0.99
3.17,;0.67,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.81
0.10,;-0.03,;0.99
3.23,;0.67,;2.75
0.10,;-0.03,;0.99
3.36,;0.79,;2.87
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.11,;-0.03,;0.99
3.36,;0.92,;2.75
0.10,;-0.03,;0.99
3.23,;0.92,;2.75
0.10,;-0.03,;0.99
3.05,;0.67,;2.75
0.10,;-0.03,;0.99
3.30,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.79,;2.81
0.10,;-0.03,;0.99
3.17,;0.73,;2.69
0.10,;-0.03,;0.99
3.05,;0.73,;2.75
0.10,;-0.03,;0.99
3.05,;0.73,;2.69
0.10,;-0.03,;0.99
3.17,;0.92,;2.87
0.10,;-0.03,;0.99
3.11,;0.73,;2.87
0.10,;-0.03,;0.99
2.93,;0.79,;2.75
0.10,;-0.03,;0.99
2.99,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.92,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.56
0.10,;-0.03,;0.99
3.23,;0.92,;2.56
0.10,;-0.03,;0.99
3.36,;0.73,;2.62
0.10,;-0.03,;0.99
3.30,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.85,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.56
0.10,;-0.03,;0.99
3.30,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.75
0.10,;-0.03,;0.99
3.11,;0.98,;2.69
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.79,;2.69
0.10,;-0.03,;0.99
3.11,;0.67,;2.56
0.10,;-0.03,;0.99
3.05,;0.85,;2.69
0.10,;-0.03,;0.99
3.30,;0.85,;2.69
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.10,;-0.03,;0.99
3.05,;1.04,;2.69
0.10,;-0.03,;0.99
3.17,;0.85,;2.69
0.10,;-0.03,;0.99
2.99,;0.85,;2.81
0.10,;-0.03,;0.99
3.05,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.73,;2.62
0.10,;-0.03,;0.99
3.11,;0.79,;2.62
0.10,;-0.03,;0.99
3.23,;0.85,;2.81
0.10,;-0.03,;0.99
3.05,;0.92,;2.75
0.10,;-0.03,;0.99
3.17,;0.67,;2.69
0.10,;-0.03,;0.99
3.05,;0.85,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.62
0.10,;-0.03,;0.99
3.23,;0.73,;2.87
0.10,;-0.03,;0.99
3.23,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.92,;2.69
0.10,;-0.03,;0.99
3.30,;0.85,;2.50
0.10,;-0.03,;0.99
2.99,;0.85,;2.56
0.10,;-0.03,;0.99
3.17,;0.79,;2.62
0.10,;-0.03,;0.99
3.17,;0.85,;2.56
0.10,;-0.03,;0.99
3.17,;0.98,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.75
0.10,;-0.03,;0.99
3.17,;0.61,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.62
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.99
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.73,;2.75
0.10,;-0.03,;1.00
3.23,;0.73,;2.69
0.10,;-0.03,;0.99
3.05,;0.92,;2.62
0.10,;-0.03,;0.99
3.11,;0.79,;2.56
0.10,;-0.03,;0.99
3.11,;0.85,;2.87
0.11,;-0.03,;1.00
3.23,;0.85,;2.81
0.10,;-0.03,;0.99
3.11,;0.85,;2.75
0.10,;-0.03,;0.99
3.23,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.67,;2.62
0.10,;-0.03,;0.99
3.23,;0.92,;2.81
0.10,;-0.03,;0.99
3.05,;0.79,;2.81
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.11,;0.79,;2.62
0.10,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.56
0.10,;-0.03,;0.99
3.23,;0.73,;2.69
0.11,;-0.03,;0.99
3.17,;0.67,;2.69
0.10,;-0.03,;0.99
3.11,;0.73,;2.69
0.10,;-0.03,;0.99
3.30,;0.92,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.93
0.11,;-0.03,;0.99
3.11,;0.79,;2.87
0.10,;-0.03,;0.99
3.17,;0.73,;2.62
0.10,;-0.03,;0.99
3.17,;0.79,;2.87
0.10,;-0.03,;0.99
3.05,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.69
0.10,;-0.03,;0.99
3.17,;0.92,;2.69
0.10,;-0.03,;0.99
3.30,;0.73,;2.62
0.10,;-0.03,;0.99
3.30,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.55,;2.75
0.10,;-0.03,;0.99
3.36,;0.92,;2.75
0.10,;-0.03,;0.99
3.30,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.85,;2.93
0.10,;-0.03,;0.99
3.17,;0.79,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.69
0.10,;-0.03,;0.99
3.11,;0.67,;2.75
0.10,;-0.03,;0.99
2.99,;0.85,;2.62
0.10,;-0.03,;0.99
3.11,;0.73,;2.69
0.10,;-0.03,;0.99
2.99,;0.79,;2.56
0.10,;-0.03,;0.99
3.17,;0.73,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.56
0.10,;-0.03,;0.99
2.99,;0.61,;2.69
0.10,;-0.03,;0.99
3.05,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.11,;0.85,;2.69
0.10,;-0.03,;0.99
3.23,;0.73,;2.81
0.10,;-0.03,;0.99
3.11,;0.79,;2.69
0.10,;-0.02,;0.99
3.17,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.98,;2.62
0.10,;-0.03,;0.99
3.17,;0.92,;2.69
0.11,;-0.03,;0.99
3.36,;0.61,;2.69
0.10,;-0.03,;0.99
3.17,;0.79,;2.56
0.10,;-0.03,;0.99
3.23,;0.85,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.50
0.10,;-0.03,;0.99
3.05,;0.73,;2.69
0.10,;-0.03,;0.99
3.11,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.79,;2.81
0.10,;-0.02,;0.99
3.11,;0.92,;2.56
0.10,;-0.03,;0.99
2.99,;0.61,;2.81
0.10,;-0.03,;0.99
3.23,;0.85,;2.75
0.10,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
2.99,;0.85,;2.62
0.10,;-0.03,;0.99
3.11,;1.04,;2.69
0.10,;-0.03,;0.99
3.23,;0.79,;2.69
0.10,;-0.03,;0.99
3.30,;0.79,;2.69
0.10,;-0.03,;0.99
3.11,;0.73,;2.81
0.10,;-0.03,;0.99
3.30,;0.79,;2.69
0.10,;-0.03,;1.00
3.17,;0.73,;2.56
0.10,;-0.03,;0.99
3.23,;0.98,;2.62
0.11,;-0.03,;0.99
2.99,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.73,;2.69
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
2.99,;0.79,;2.75
0.10,;-0.03,;0.99
3.30,;0.67,;2.69
0.10,;-0.03,;0.99
3.17,;0.92,;2.69
0.10,;-0.03,;0.99
3.17,;0.67,;2.87
0.10,;-0.03,;0.99
3.30,;0.79,;2.69
0.10,;-0.03,;0.99
3.17,;0.85,;2.62
0.10,;-0.03,;0.99
3.05,;0.79,;2.81
0.10,;-0.03,;0.99
3.11,;1.04,;2.81
0.10,;-0.03,;0.99
2.93,;0.67,;2.69
0.10,;-0.03,;0.99
2.93,;0.85,;2.50
0.10,;-0.03,;0.99
3.17,;0.67,;2.56
0.10,;-0.03,;0.99
3.11,;0.85,;2.75
0.10,;-0.03,;0.99
3.36,;0.67,;2.81
0.10,;-0.03,;0.99
3.30,;0.92,;2.50
0.11,;-0.03,;0.99
3.30,;0.79,;2.69
0.11,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
3.05,;0.85,;2.69
0.10,;-0.03,;0.99
3.23,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.75
0.10,;-0.03,;0.99
3.11,;0.85,;2.75
0.10,;-0.03,;0.99
2.99,;0.67,;2.75
0.10,;-0.03,;0.99
3.17,;0.67,;2.62
0.11,;-0.03,;0.99
3.05,;0.79,;2.62
0.10,;-0.03,;0.99
2.99,;0.79,;2.62
0.10,;-0.03,;0.99
2.99,;0.73,;2.62
0.10,;-0.03,;0.99
3.05,;0.85,;2.69
0.10,;-0.03,;0.99
3.05,;0.79,;2.50
0.10,;-0.03,;0.99
3.17,;0.73,;2.87
0.10,;-0.03,;0.99
3.23,;0.85,;2.62
0.10,;-0.03,;0.99
3.17,;0.79,;2.69
0.10,;-0.03,;0.99
3.23,;0.85,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.81
0.10,;-0.03,;0.99
2.99,;0.67,;2.62
0.10,;-0.03,;0.99
3.17,;0.79,;2.75
0.11,;-0.03,;0.99
3.05,;0.79,;2.75
0.10,;-0.03,;0.99
3.11,;0.73,;2.75
0.10,;-0.03,;0.99
3.17,;0.85,;2.62
0.10,;-0.03,;0.99
3.17,;0.73,;2.81
0.10,;-0.03,;0.99
